epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,296.932,0.55109,0.53915,1.04084,0.73501,0.4201,0.47483,0.25378,1.93487,2.46078,1.56104,3.6533e-05,3.6533e-05,3.6533e-05
107,298.772,0.5312,0.47909,1.0585,0.73501,0.4201,0.47483,0.25378,1.93487,2.46078,1.56104,3.57476e-05,3.57476e-05,3.57476e-05
108,300.516,0.58879,0.67622,1.02974,0.73323,0.41629,0.47449,0.25309,1.89955,2.47951,1.54808,3.49622e-05,3.49622e-05,3.49622e-05
109,301.901,0.76589,0.872,1.27434,0.73323,0.41629,0.47449,0.25309,1.89955,2.47951,1.54808,3.41768e-05,3.41768e-05,3.41768e-05
110,303.493,0.68787,0.82941,1.14892,0.73323,0.41629,0.47449,0.25309,1.89955,2.47951,1.54808,3.33914e-05,3.33914e-05,3.33914e-05
111,304.999,0.68847,0.59323,1.1817,0.73323,0.41629,0.47449,0.25309,1.89955,2.47951,1.54808,3.2606e-05,3.2606e-05,3.2606e-05
112,306.72,0.74648,0.54068,1.26654,0.76443,0.44263,0.4732,0.26295,1.88663,2.51325,1.55312,3.18206e-05,3.18206e-05,3.18206e-05
113,308.469,0.65276,0.71786,1.23631,0.76443,0.44263,0.4732,0.26295,1.88663,2.51325,1.55312,3.10352e-05,3.10352e-05,3.10352e-05
114,310.05,0.61957,0.54585,1.07756,0.76443,0.44263,0.4732,0.26295,1.88663,2.51325,1.55312,3.02498e-05,3.02498e-05,3.02498e-05
115,311.419,0.48294,0.44834,0.94343,0.76443,0.44263,0.4732,0.26295,1.88663,2.51325,1.55312,2.94644e-05,2.94644e-05,2.94644e-05
116,312.797,0.67338,0.59295,1.10089,0.69842,0.38766,0.44593,0.25736,1.94346,2.53572,1.57244,2.8679e-05,2.8679e-05,2.8679e-05
117,314.202,0.48527,0.45371,0.93869,0.69842,0.38766,0.44593,0.25736,1.94346,2.53572,1.57244,2.78936e-05,2.78936e-05,2.78936e-05
118,315.672,0.70776,0.55491,1.08662,0.69842,0.38766,0.44593,0.25736,1.94346,2.53572,1.57244,2.71082e-05,2.71082e-05,2.71082e-05
119,317.191,0.79065,1.19645,1.19026,0.69842,0.38766,0.44593,0.25736,1.94346,2.53572,1.57244,2.63228e-05,2.63228e-05,2.63228e-05
